Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Yumi's Cells,2021,14,13+,"['Kim Go Eun', 'Ahn Bo Hyun', 'Park Ji Hyun', 'Joo Jong Hyuk', 'Lee Yoo Bi', 'Park Jin Young']",tvN,"['Psychological', 'Comedy', 'Romance', 'Drama']","['Slice Of Life', 'Adapted From A Webtoon', 'Friendship', 'Mixed Live Action-Animation', 'Office Worker', 'Workplace', 'Honest Male Lead', 'Love Triangle', 'Ambitious Female Lead', 'Energetic Female Lead', '(Vote or add tags)']",8.5
Extracurricular,2020,10,18+,"['Kim Dong Hee', 'Park Ju Hyun', 'Jung Da Bin', 'Nam Yoon Su', 'Choi Min Soo', 'Park Hyuk Kwon']",Netflix,"['Psychological', 'Crime', 'Youth', 'Drama']","['Prostitution', 'Illegal Business', 'Student', 'High School', 'Greed', 'Sex Trafficking', 'Smart Male Lead', 'Security Service Provider', 'Rich Female Lead', 'Violence', '(Vote or add tags)']",8.5
Two Weeks,2013,16,15+,"['Lee Joon Gi', 'Park Ha Sun', 'Ryu Soo Young', 'Kim So Yeon', 'Lee Chae Mi', 'Jo  Min Ki']",MBC,"['Action', 'Thriller', 'Mystery', 'Drama']","['Child Female Lead', 'Prosecutor Female Lead', 'Detective Male Lead', 'Leukemia', 'Single Father', 'Wrongfully Accused', 'Strong Male Lead', 'Crime Solving', 'Conspiracy', 'Father-Daughter Relationship', '(Vote or add tags)']",8.5
Angel's Last Mission: Love,2019,32,15+,"['Kim Myung Soo', 'Shin Hye Sun', 'Lee Dong Gun', 'Kim  Bo Mi', 'Woo Hee Jin', 'Gil Eun Hye']",KBS2,"['Comedy', 'Romance', 'Drama', 'Fantasy']","['Nice Male Lead', 'Warm Man/Cold Woman', 'Orphan Female Lead', 'Strong Female Lead', 'Opposites Attract', 'Ballet', 'Rich Female Lead', 'Tearjerker', 'Childhood Friends', 'Male Chases Female First', '(Vote or add tags)']",8.5
"Work Later, Drink Now",2021,12,18+,"['Lee Sun Bin', 'Han Sun Hwa', 'Jung Eun Ji', 'Choi Si Won', 'Kim Jung Min', 'Yoo Ji Yeon']",tvN,"['Friendship', 'Comedy', 'Life', 'Drama']","['Female Centered Plot', 'Sismance', 'Adapted From A Webtoon', 'Drinking', 'Confident Female Lead', 'Suicide', 'Yoga Instructor', 'Death', 'Workplace Abuse', 'Screenwriter Female Lead', '(Vote or add tags)']",8.5
Sh**ting Stars,2022,16,15+,"['Lee Sung Kyung', 'Kim Young Dae', 'Yoon Jong Hoon', 'Kim Yoon Hye', 'Park So Jin', 'Lee Jung Shin']",tvN,"['Comedy', 'Romance', 'Drama']","['Entertainment Industry', 'Famous Male Lead', 'Love/Hate Relationship', 'Bickering Couple', 'Enemies To Lovers', 'Multiple Mains', 'Actor Male Lead', 'Actor/Actress Supporting Character', 'Reporter Female Lead', 'Multiple Couples', '(Vote or add tags)']",8.5
Queen In Hyun's Man,2012,16,15+,"['Ji Hyun Woo', 'Yoo In Na', 'Kim Jin Woo', 'Ga Deuk Hee', 'Seo Woo Jin', 'Kim Won Hae']",tvN,"['Historical', 'Comedy', 'Romance', 'Fantasy']","['Time Travel', 'Smart Male Lead', 'Joseon Dynasty', 'Calm Male Lead', 'Nice Male Lead', 'Amnesia', 'Height Difference', 'Famous Lead/Common Lead', 'Past And Present', 'Fate', '(Vote or add tags)']",8.5
All of Us Are Dead,2022,12,18+,"['Park Ji Hoo', 'Yoon Chan Young', 'Jo Yi Hyun', 'Lomon', 'Yoo In Soo', 'Kim Byung Chul']",Netflix,"['Action', 'Thriller', 'Horror', 'Sci-Fi']","['Survival', 'Zombies', 'Death', 'Gore', 'School', 'Virus', 'Slight Romance', 'Zombie Apocalypse', 'High School', 'Suspense', '(Vote or add tags)']",8.4
Search: WWW,2019,16,15+,"['Im Soo Jung', 'Lee Da Hee', 'Jeon Hye Jin', 'Jang Ki Yong', 'Lee Jae Wook', 'Ji Seung Hyun']",tvN,"['Business', 'Comedy', 'Romance', 'Drama']","['Successful Female Lead', 'Smart Female Lead', 'Strong Female Lead', 'Independent Female Lead', 'Female Centered Plot', 'Sismance', 'Social Media', 'Older Woman/Younger Man', 'Teamwork', 'IT Industry', '(Vote or add tags)']",8.4
I'm Not a Robot,2017,32,15+,"['Yoo Seung Ho', 'Chae Soo Bin', 'Uhm Ki Joon', 'Park Se Wan', 'Song Jae Ryong', 'Go Geon Han']",MBC,"['Comedy', 'Romance', 'Drama', 'Sci-Fi']","['Haphephobia', 'Hidden Identity', 'Rich Male Lead', 'Robot', 'Eccentric Male Lead', 'Double Identity', 'Sismance', 'Hardworking Female Lead', 'Healing', 'Forgiveness', '(Vote or add tags)']",8.4
Memorist,2020,16,15+,"['Yoo Seung Ho', 'Lee Se Young', 'Jo Sung Ha', 'Ko Chang Seok', 'Yun Ji On', 'Jeon Hyo Sung']",tvN,"['Action', 'Thriller', 'Mystery', 'Supernatural']","['Serial Killer', 'Adapted From A Webtoon', 'Smart Female Lead', 'Criminal Profiler', 'Eccentric Male Lead', 'Supernatural Power', 'Calm Female Lead', 'Investigation', 'Cult', 'Aggressive Male Lead', '(Vote or add tags)']",8.4
"From Now On, Showtime!",2022,16,15+,"['Park Hae Jin', 'Jin Ki Joo', 'Jung Joon Ho', 'Go Gyu Pil', 'Jung Suk Yong', 'Park Seo Yeon']","MBC,  ViuTV","['Mystery', 'Comedy', 'Romance', 'Fantasy']","['Supernatural', 'Ghost', 'Magician Male Lead', 'Police Officer Female Lead', 'Ghost-seeing Male Lead', 'Secret', 'Special Power', 'Investigation', 'Ghost Supporting Character', 'Slow Burn Romance', '(Vote or add tags)']",8.4
The Sound of Magic,2022,6,15+,"['Ji Chang Wook', 'Choi Sung Eun', 'Hwang In Youp', 'Oh So Hyun', 'Ji Hye Won', 'Hong Jung Min']",Netflix,"['Music', 'Psychological', 'Drama', 'Fantasy']","['Magician Male Lead', 'Student', 'Poor Female Lead', 'Adapted From A Webtoon', 'High School', 'Growing Up', 'Dream', 'Youth', 'Melodrama', 'Amusement Park', '(Vote or add tags)']",8.4
Duel,2017,16,Not Yet Rated,"['Jung Jae Young', 'Kim Jung Eun', 'Yang Se Jong', 'Seo Eun Soo', 'Kim Ki Doo', 'Yoon Gyung Ho']",OCN,"['Thriller', 'Mystery', 'Sci-Fi']","['Amnesia', 'Human Experimentation', 'Kidnapping', 'Tragic Past', 'Father-Daughter Relationship', 'Bromance', 'Investigation', 'Suspense', 'Revenge', 'Serial Killer', '(Vote or add tags)']",8.4
Hello Monster,2015,16,15+,"['Seo In Guk', 'Jang Na Ra', 'Park Bo Gum', 'Choi Won Young', 'Lee Chun Hee', 'Min Sung Wook']",KBS2,"['Thriller', 'Mystery', 'Psychological', 'Drama']","['Smart Male Lead', 'Investigation', 'Secret', 'Criminal Profiler', 'Hidden Identity', 'Obsession', 'Female Chases Male First', 'Eccentric Male Lead', 'Slight Romance', 'Bromance', '(Vote or add tags)']",8.4
Voice 2,2018,12,15+,"['Lee  Ha Na', 'Lee Jin Wook', 'Kwon Yool', 'Ahn Se Ha', 'Son Eun Seo', 'Kim Woo Seok']",OCN,"['Thriller', 'Mystery', 'Psychological']","['Investigation', 'Strong Female Lead', 'Leadership', 'Suspense', 'Kidnapping', 'Tragic Past', 'Mental Health', 'Teamwork', 'Smart Female Lead', 'Emergency Communication Center', '(Vote or add tags)']",8.4
Train,2020,12,15+,"['Yoon Shi Yoon', 'Kyung Soo Jin', 'Shin So Yool', 'Lee Hang Na', 'Nam Moon Chul', 'Jo Wan Ki']",OCN,"['Thriller', 'Mystery', 'Sci-Fi']","['Parallel Dimension', 'Suspense', 'Murder', 'Death', 'Tough Female Lead', 'Slight Romance', 'Strong Male Lead', 'Crossworlds Traveler', 'First Love', 'Orphan Female Lead', '(Vote or add tags)']",8.4
Moon Embracing the Sun,2012,20,15+,"['Han Ga In', 'Kim Soo Hyun', 'Jung Il Woo', 'Kim Min Seo', 'Kim Yoo Jung', 'Yeo Jin Goo']",MBC,"['Historical', 'Romance', 'Supernatural', 'Political']","['Lovers Separated', 'Amnesia', 'Power Struggle', 'Hidden Identity', 'Obsession', 'Joseon Dynasty', 'First Love', 'Black Magic', 'Time Skip', 'Male Chases Female First', '(Vote or add tags)']",8.4
Lost,2021,16,15+,"['Jeon Do Yeon', 'Ryu Joon Yeol', 'Park Byung Eun', 'Kim Hyo Jin', 'Park Ji Young', 'Park In Hwan']","iQiyi,  jTBC","['Life', 'Drama', 'Melodrama']","['Slow Burn Story', 'Depression', 'Philosophical', 'Father-Daughter Relationship', 'Friendship', 'Social Realism', 'Lost Soul', 'Miscarriage', 'Older Woman/Younger Man', 'Hardworking Female Lead', '(Vote or add tags)']",8.4
Love All Play,2022,16,15+,"['Park Ju Hyun', 'Chae Jong Hyeop', 'Park Ji Hyun', 'Kim Moo Joon', 'Seo Ji Hye', 'Jo Han Chul']",KBS2,"['Romance', 'Drama', 'Sports', 'Melodrama']","['Badminton', 'Athlete Male Lead', 'Height Difference', 'Childhood Acquaintance', 'Teamwork', 'Friends To Lovers', 'Competition', 'Athlete Female Lead', 'Athlete', 'Slight Comedy', '(Vote or add tags)']",8.4
Mad Dog,2017,16,15+,"['Yoo Ji Tae', 'Woo Do Hwan', 'Ryu Hwa Young', 'Jo Jae Yoon', 'Kim Hye Sung', 'Hong Soo Hyun']",KBS2,"['Action', 'Thriller', 'Mystery']","['Revenge', 'Tragic Past', 'Enemy Mine', 'Vigilante', 'Corruption', 'Insurance', 'Strong Female Lead', 'Office Romance', 'Teamwork', 'Fraud', '(Vote or add tags)']",8.4
Doom at Your Service,2021,16,15+,"['Park Bo Young', 'Seo In Guk', 'Lee Soo Hyuk', 'Kang Tae Oh', 'Shin Do Hyun', 'Dawon']","tvN,  ViuTV","['Comedy', 'Romance', 'Drama', 'Fantasy']","['Terminal Illness', 'Illness', 'Brain Cancer', 'Hardworking Female Lead', 'Deity', 'Unlucky Female Lead', 'Glioblastoma', 'First Love', 'Eccentric Male Lead', 'Brother-Sister Relationship', '(Vote or add tags)']",8.4
The Crowned Clown,2019,16,15+,"['Yeo Jin Goo', 'Lee Se Young', 'Kim Sang Kyung', 'Jang Gwang', 'Yoon Jong Seok', 'Yoon Gyung Ho']",tvN,"['Historical', 'Romance', 'Melodrama', 'Political']","['Double Identity', 'Noble Woman/Common Man', 'Identity Swap', 'Poor Male Lead', 'Character Development', 'Joseon Dynasty', 'Power Struggle', 'Rebellion', 'Nice Male Lead', 'Doppelganger', '(Vote or add tags)']",8.4
My Unfamiliar Family,2020,16,15+,"['Han Ye Ri', 'Kim Ji Suk', 'Choo Ja Hyun', 'Jung Jin Young', 'Won Mi Kyung', 'Shin Jae Ha']",tvN,"['Life', 'Drama', 'Family']","['Family Crisis', 'Amnesia', 'Misunderstanding', 'Multiple Mains', 'Mother-Son Relationship', 'Father-Daughter Relationship', 'Mother-Daughter Relationship', 'Father-Son Relationship', 'Friends To Lovers', 'Marriage', '(Vote or add tags)']",8.4
Age of Youth 2,2017,14,15+,"['Han Ye Ri', 'Han Seung Yeon', 'Park Eun Bin', 'Ji Woo', 'Choi A Ra', 'Kim Min Seok']",jTBC,"['Mystery', 'Comedy', 'Romance', 'Youth']","['Female Centered Plot', 'Multiple Mains', 'Housemates', 'Sismance', 'Trauma', 'Multiple Couples', 'College Life', 'Taller Woman/Shorter Man', 'Slice Of Life', 'Friendship', '(Vote or add tags)']",8.4
My Roommate Is a Gumiho,2021,16,15+,"['Jang Ki Yong', 'Lee Hye Ri', 'Kang Han Na', 'Kim Do Wan', 'Bae In Hyuk', 'Park Kyung Hye']","iQiyi,  tvN","['Comedy', 'Romance', 'Fantasy']","['Nine-tailed Fox', 'Cohabitation', 'Smart Male Lead', 'Nice Male Lead', 'Supernatural', 'Independent Female Lead', 'Interspecies Romance', 'Adapted From A Webtoon', 'Friendship', 'Multiple Mains', '(Vote or add tags)']",8.4
Nine: Nine Times Time Travel,2013,20,15+,"['Lee Jin Wook', 'Lee Seung Joon', 'Jo Yoon Hee', 'Oh Min Suk', 'Lee Yi Kyung', 'Jo Min Ah']",tvN,"['Mystery', 'Romance', 'Supernatural']","['Time Travel', '1990s', 'Bromance', 'Female Chases Male First', 'Reporter Female Lead', 'Magical Object', 'Arrogant Male Lead', 'Brain Tumor', 'Hidden Past', 'Smart Male Lead', '(Vote or add tags)']",8.4
Pinocchio,2014,20,15+,"['Lee Jong Suk', 'Park Shin Hye', 'Kim Young Kwang', 'Lee Yoo Bi', 'Jin Kyung', 'Lee Pil Mo']",SBS,"['Thriller', 'Mystery', 'Comedy', 'Romance']","['Tragic Past', 'Hidden Identity', 'Double Identity', 'Journalism', 'Adopted Siblings Love', 'Cohabitation', 'Revenge', 'Childhood Friends', 'Wrongfully Accused', 'Bromance', '(Vote or add tags)']",8.4
Extraordinary You,2019,32,13+,"['Kim Hye Yoon', 'Rowoon', 'Lee Jae Wook', 'Lee Na Eun', 'Kim Young Dae', 'Jung Gun Joo']",MBC,"['Comedy', 'Romance', 'Youth', 'Fantasy']","['Sassy Female Lead', 'Nice Male Lead', 'Adapted From A Webtoon', 'High School', 'Illness', 'Height Difference', 'Love Triangle', 'Character Development', 'Strong Female Lead', 'Amnesia', '(Vote or add tags)']",8.4
Her Private Life,2019,16,15+,"['Park Min Young', 'Kim Jae Wook', 'Ahn Bo Hyun', 'One', 'Kim Bo Ra', 'Park Jin Joo']",tvN,"['Comedy', 'Romance']","['Boss-Employee Relationship', 'Independent Female Lead', 'Eccentric Female Lead', 'Orphan Male Lead', 'Smart Male Lead', 'Calm Male Lead', 'Sismance', 'Fan Culture', 'Steamy Kiss', 'Strong Female Lead', '(Vote or add tags)']",8.4
Birthcare Center,2020,8,15+,"['Uhm Ji Won', 'Park Ha Sun', 'Choi Ri', 'Jang Hye Jin', 'Yoon Park', 'Im Hwa Young']",tvN,"['Comedy', 'Life', 'Drama', 'Melodrama']","['Motherhood', 'Childbirth', 'Female Centered Plot', 'Strong Female Lead', 'Older Woman/Younger Man', 'Sismance', 'Black Comedy', 'Hardworking Female Lead', 'Career Woman', 'Independent Female Lead', '(Vote or add tags)']",8.4
Doctor Prisoner,2019,32,15+,"['Namkoong Min', 'Kwon Na Ra', 'Kim Byung Chul', 'Choi Won Young', 'Lee Da In', 'Jin Hee Kyung']",KBS2,"['Thriller', 'Law', 'Crime', 'Medical']","['Revenge', 'Smart Male Lead', 'Corruption', 'Power Struggle', 'Scheme', 'Lying', 'Smart Female Lead', 'Heir', 'Strong Female Lead', 'Death Of A Parent', '(Vote or add tags)']",8.4
Secret,2013,16,15+,"['Ji Sung', 'Hwang Jung Eum', 'Bae Soo Bin', 'Lee Da Hee', 'Lee Deok Hwa', 'Jo Mi Ryung']",KBS2,"['Romance', 'Drama', 'Melodrama']","['Revenge', 'Nice Female Lead', 'Obsession', 'Rich Male Lead', 'Love Square', 'Naive Female Lead', 'Slow Burn Romance', 'Prison', 'Wrongfully Accused', 'Ex-convict', '(Vote or add tags)']",8.4
My Country: The New Age,2019,16,15+,"['Yang Se Jong', 'Woo Do Hwan', 'Kim Seol Hyun', 'Jang Hyuk', 'Kim Yeong Cheol', 'Ahn Nae Sang']","jTBC,  Netflix","['Action', 'Historical', 'Romance', 'Drama']","['Friendship', 'Multiple Mains', 'Bromance', 'Joseon Dynasty', 'Strong Male Lead', 'Power Struggle', 'War', 'Smart Female Lead', 'First Love', 'Evil Parental Figure', '(Vote or add tags)']",8.4
Military Prosecutor Doberman,2022,16,15+,"['Ahn Bo Hyun', 'Jo Bo Ah', 'Oh Yeon Soo', 'Kim Young Min', 'Kim Woo Seok', 'Kang Mal Geum']",tvN,"['Action', 'Military', 'Mystery', 'Law']","['Military Abuse', 'Investigation', 'Death Of A Mother', 'Prosecutor Female Lead', 'Prosecutor Male Lead', 'Death Of A Father', 'Money-Hungry Male Lead', 'Powerful Female Lead', 'Evil Lead', 'Pure Evil', '(Vote or add tags)']",8.4
Sell Your Haunted House,2021,16,15+,"['Jang Na Ra', 'Jung Yong Hwa', 'Kang Hong Suk', 'Kang Mal Geum', 'Baek Eun Hye', 'Ahn Kil Kang']",KBS2,"['Thriller', 'Mystery', 'Comedy', 'Fantasy']","['Ghost', 'Supernatural', 'Exorcism', 'Strong Female Lead', 'Smart Female Lead', 'Exorcist', 'Cold Female Lead', 'Suspense', 'Dead Parents', 'Death Of A Parent', '(Vote or add tags)']",8.4
The Tale of Nokdu,2019,32,15+,"['Jang Dong Yoon', 'Kim So Hyun', 'Kang Tae Oh', 'Jung Joon Ho', 'Kim Tae Woo', 'Yoon Yoo Sun']",KBS2,"['Action', 'Historical', 'Comedy', 'Romance']","['Cross-Dressing', 'Joseon Dynasty', 'Hidden Identity', 'Strong Male Lead', 'Birth Secret', 'Strong Female Lead', 'Gender Bender', 'First Love', 'Martial Arts Master', 'Smart Male Lead', '(Vote or add tags)']",8.4
The Legend of the Blue Sea,2016,20,15+,"['Lee Min Ho', 'Jun Ji Hyun', 'Lee Hee Joon', 'Shin  Won Ho', 'Shin Hye Sun', 'Moon So Ri']",SBS,"['Comedy', 'Romance', 'Drama', 'Fantasy']","['Mermaid', 'Naive Female Lead', 'Interspecies Romance', 'Eccentric Female Lead', 'Housemates', 'Bad/Wrong Tag', 'Cohabitation', 'Evil Stepmother', 'First Love', 'Sassy Female Lead', '(Vote or add tags)']",8.4
Come and Hug Me,2018,32,15+,"['Jang Ki Yong', 'Jin Ki Joo', 'Heo Joon Ho', 'Yoon Jong Hoon', 'Kim Kyung Nam', 'Seo Jung Yeon']",MBC,"['Thriller', 'Mystery', 'Romance', 'Melodrama']","['Psychopath', 'Evil Parental Figure', 'Trauma', 'Nice Male Lead', 'Healing', 'First Love', 'Violence', 'Strong Female Lead', 'Successful Female Lead', 'Calm Male Lead', '(Vote or add tags)']",8.4
Player,2018,14,Not Yet Rated,"['Song Seung Heon', 'Krystal Jung', 'Lee Si Eon', 'Tae Won Seok', 'Kim Won Hae', 'Ahn Se Ho']",OCN,"['Action', 'Thriller', 'Mystery', 'Comedy']","['Strong Friendship', 'Strong Female Lead', 'Corruption', 'Hidden Identity', 'Conspiracy', 'Double Identity', 'Fight', 'Gang', 'Unusual Friendship', 'Badass Male Lead', '(Vote or add tags)']",8.4
The Beauty Inside,2018,16,15+,"['Seo Hyun Jin', 'Lee Min Ki', 'Lee Da Hee', 'Ahn Jae Hyun', 'Lee Tae Ri', 'Moon Ji In']",jTBC,"['Comedy', 'Romance', 'Melodrama', 'Supernatural']","['Prosopagnosia', 'Successful Male Lead', 'Strong Female Lead', 'Calm Male Lead', 'Secondary Couple', 'Contract Relationship', 'Rich Female Lead', 'Rich Male Lead', 'Sismance', 'Secret', '(Vote or add tags)']",8.4
He Is Psychometric,2019,16,15+,"['Park Jin Young', 'Shin Ye Eun', 'Kim Kwon', 'Kim Da Som', 'Noh Jong Hyun', 'Go Yoon Jung']",tvN,"['Thriller', 'Mystery', 'Romance', 'Supernatural']","['Psychometry', 'Special Power', 'Tragic Past', 'Nice Male Lead', 'Smart Female Lead', 'Bromance', 'Strong Female Lead', 'Slow Romance', 'Sassy Female Lead', 'Death', '(Vote or add tags)']",8.4
Class of Lies,2019,16,15+,"['Yoon Kyun Sang', 'Geum Sae Rok', 'Lee Jun Young', 'Choi Yoo Hwa', 'Choi Kyu Jin', 'Han So Eun']",OCN,"['Thriller', 'Mystery', 'Law', 'Youth']","['Murder', 'Secret', 'Investigation', 'Hidden Identity', 'Death', 'High School', 'Lying', 'Jealousy', 'Multiple Mains', 'Rich Male Lead', '(Vote or add tags)']",8.4
Psychopath Diary,2019,16,15+,"['Yoon Shi Yoon', 'Jung In Sun', 'Park Sung Hoon', 'Lee  Han Wi', 'Hwang Geum Byul', 'Kim Kyul']",tvN,"['Thriller', 'Mystery', 'Comedy', 'Crime']","['Black Comedy', 'Amnesia', 'Personality Change', 'Nice Male Lead', 'Misunderstanding', 'Wrongfully Accused', 'Investigation', 'Murder', 'Smart Female Lead', 'Policewoman', '(Vote or add tags)']",8.4
Tale of the Nine-Tailed,2020,16,15+,"['Lee Dong Wook', 'Jo Bo Ah', 'Kim Bum', 'Kim Yong Ji', 'Hwang Hee', 'Kim Jung Nan']",tvN,"['Thriller', 'Horror', 'Romance', 'Fantasy']","['Nine-tailed Fox', 'Reincarnation', 'Supernatural', 'Sibling Rivalry', 'Immortal', 'Interspecies Romance', 'Imoogi', 'Mythical Being', 'Hardworking Female Lead', 'Smart Female Lead', '(Vote or add tags)']",8.4
One Spring Night,2019,32,15+,"['Jung Hae In', 'Han Ji Min', 'Kim Joon Han', 'Im Sung Eon', 'Joo Min Kyung', 'Song Seung Hwan']","MBC,  Netflix","['Romance', 'Life', 'Drama', 'Melodrama']","['Nice Male Lead', 'Family Pressure', 'Strong Female Lead', 'Adult Romance', 'Strong Friendship', 'Male Chases Female First', 'Father-Son Relationship', 'Sismance', 'Strict Father', 'Mother-Son Relationship', '(Vote or add tags)']",8.3
100 Days My Prince,2018,16,15+,"['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho', 'Han So Hee', 'Jo Sung Ha', 'Kim Jae Young']",tvN,"['Historical', 'Comedy', 'Romance', 'Drama']","['Amnesia', 'Hidden Identity', 'Marriage Of Convenience', 'Joseon Dynasty', 'Fake Marriage', 'Eccentric Male Lead', 'Hardworking Female Lead', 'Double Identity', 'Strong Female Lead', 'Riches To Rags', '(Vote or add tags)']",8.3
"At a Distance, Spring Is Green",2021,12,15+,"['Park Ji Hoon', 'Kang  Min Ah', 'Bae In Hyuk', 'Kwon Eun Bin', 'Choi Jung Woo', 'Woo Da Vi']","iQiyi,  KBS2,  Viki","['Romance', 'Life', 'School', 'Youth']","['Coming Of Age', 'Adapted From A Webtoon', 'Bromance', 'Child Abuse', 'Mental Health', 'Student', 'Depression', 'Abusive Parents', 'Anxiety', 'Childhood Trauma', '(Vote or add tags)']",8.3
Partners for Justice,2018,32,15+,"['Jung Jae Young', 'Jung Yoo Mi', 'Lee Yi Kyung', 'Park Eun Seok', 'Stephanie Lee', 'Joo Jin Mo']",MBC,"['Thriller', 'Mystery', 'Law', 'Medical']","['Lieutenant Supporting Character', 'Serial Killer Supporting Character', 'Forensic Medical Examiner Male Lead', 'Detective Fiction', 'Criminal Supporting Character', 'Age Gap [Drama Life]', 'Age Gap [Real Life]', 'Prosecutor Female Lead', 'Coroner', 'Warm Female Lead', '(Vote or add tags)']",8.3
The Good Detective,2020,16,15+,"['Son Hyun Joo', 'Jang Seung Jo', 'Lee Elijah', 'Oh Jung Se', 'Ji Seung Hyun', 'Son Jong Hak']",jTBC,"['Action', 'Thriller', 'Mystery', 'Drama']","['Wrongfully Accused', 'Corruption', 'Investigation', 'Smart Male Lead', 'Bromance', 'Corrupt Legal System', 'Murder', 'Crime', 'Detective Male Lead', 'Suspense', '(Vote or add tags)']",8.3
Again My Life,2022,16,15+,"['Lee Joon Gi', 'Lee Kyung Young', 'Kim Ji Eun', 'Jung Sang Hoon', 'Choi Kwang Il', 'Hong Bi Ra']","SBS,  ViuTV","['Mystery', 'Law', 'Drama', 'Fantasy']","['Time Travel', 'Fight For Justice', 'Death', 'Prosecutor Male Lead', 'Corruption', 'Investigation', 'Second Chance', 'Bullied Male Lead', 'Competitive Male Lead', 'Grim Reaper Supporting Character', '(Vote or add tags)']",8.3
Good Doctor,2013,20,15+,"['Joo Won', 'Moon Chae Won', 'Joo Sang Wook', 'Kim Min Seo', 'Ha Kyu Won', 'Kim Hyun Soo']",KBS2,"['Romance', 'Life', 'Drama', 'Medical']","['Autism', 'Eccentric Male Lead', 'Ableism', 'Child Abuse', 'Slow Burn Romance', 'Savant Syndrome', 'Older Woman/Younger Man', 'Doctor Female Lead', 'Doctor Male Lead', 'Mental Illness', '(Vote or add tags)']",8.3
Oh My Ghost,2015,16,13+,"['Park Bo Young', 'Kim Seul Gi', 'Jo Jung Suk', 'Im Joo Hwan', 'Kang Ki Young', 'Kwak Shi Yang']",tvN,"['Thriller', 'Comedy', 'Romance', 'Supernatural']","['Boss-Employee Relationship', 'Identity Swap', 'Hardworking Male Lead', 'Successful Male Lead', 'Ghost-seeing Female Lead', 'Sismance', 'Love Triangle', 'Cold Man/Warm Woman', 'Female Chases Male First', 'Shamanism', '(Vote or add tags)']",8.3
True Beauty,2020,16,15+,"['Moon Ga Young', 'Cha Eun Woo', 'Hwang In Youp', 'Park Yoo Na', 'Jang Hye Jin', 'Park Ho San']",tvN,"['Comedy', 'Romance', 'Youth', 'Drama']","['Adapted From A Webtoon', 'Makeover', 'Popular Male Lead', 'High School', 'Beauty', 'Secret', 'Hidden Identity', 'Beauty Standards', 'Love Triangle', 'Nice Female Lead', '(Vote or add tags)']",8.3
Run On,2020,16,15+,"['Im Si Wan', 'Shin Se Kyung', 'Choi Soo Young', 'Kang Tae Oh', 'Park Young Gyu', 'Cha Hwa Yun']","jTBC,  Netflix","['Romance', 'Life', 'Drama', 'Sports']","['Secondary Couple', 'Strong Female Lead', 'Calm Male Lead', 'Quirky Humour', 'Nice Male Lead', 'Hardworking Female Lead', 'Smart Female Lead', 'Multiple Couples', 'Eccentric Male Lead', 'Father-Son Relationship', '(Vote or add tags)']",8.3
God's Gift: 14 Days,2014,16,15+,"['Lee Bo Young', 'Jo Seung Woo', 'Kim Tae Woo', 'Kim Yoo Bin', 'Jung Gyu Woon', 'Kim Jin Hee']",SBS,"['Thriller', 'Mystery', 'Drama', 'Supernatural']","['Screenwriter Female Lead', 'Detective Fiction', 'Investigator Male Lead', 'Misfortune', 'Fortune-teller', 'Injury', 'Conflict', 'Wrongfully Accused', 'Time Skip', 'Mental Illness', '(Vote or add tags)']",8.3
The Veil,2021,12,15+,"['Namkoong Min', 'Park Ha Sun', 'Kim Ji Eun', 'Jang Young Nam', 'Kim Jong Tae', 'Kim Do Hyun']",MBC,"['Action', 'Thriller', 'Mystery', 'Crime']","['Badass Male Lead', 'Antihero', 'Smart Male Lead', 'National Intelligence Service', 'Strong Male Lead', 'Betrayal', 'Espionage', 'Investigation', 'Suspense', 'Drama', '(Vote or add tags)']",8.3
Gu Family Book,2013,24,15+,"['Lee Seung Gi', 'Bae Suzy', 'Lee Sung Jae', 'Yoo Yeon Seok', 'Lee Yoo Bi', 'Sung Joon']",MBC,"['Action', 'Historical', 'Romance', 'Fantasy']","['Interspecies Romance', 'Nine-tailed Fox', 'Strong Female Lead', 'Superhuman Strength', 'Revenge', 'Cross-Dressing', 'Badass Female Lead', 'Eccentric Male Lead', 'Love Triangle', 'Shamanism', '(Vote or add tags)']",8.3
Misty,2018,16,15+,"['Kim Nam Joo', 'Ji Jin Hee', 'Jeon Hye Jin', 'Im Tae Kyung', 'Go Jun', 'Jin Ki Joo']",jTBC,"['Thriller', 'Mystery', 'Romance', 'Melodrama']","['Married Couple', 'Strong Female Lead', 'Badass Female Lead', 'Infidelity', 'Murder', 'Smart Male Lead', 'Misunderstanding', 'Suspense', 'Eccentric Female Lead', 'Marriage', '(Vote or add tags)']",8.3
Vampire Prosecutor 2,2012,11,13+,"['Yeon Jung Hoon', 'Lee Young Ah', 'Lee Won Jong', 'Lee Kyung Young', 'Kim Joo Young', 'Gong Jung Hwan']",OCN,"['Action', 'Mystery', 'Drama', 'Supernatural']","['Supernatural Power', 'Police Procedural', 'Death', 'Vampire', 'Investigation', 'Murder', 'Violence', 'Detective Fiction', 'Prosecutor Male Lead', 'Blood Everywhere', '(Vote or add tags)']",8.3
