Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Pied Piper,2016,16,15+,"['Shin Ha Kyun', 'Jo Yoon Hee', 'Yoo  Joon Sang', 'Jeon Gook Hwan', 'Kim Jong Soo', 'Park Sung Geun']",tvN,"['Action', 'Thriller', 'Mystery', 'Drama']","['Investigation', 'Resentment', 'Sensitive Female Lead', 'Orphan Female Lead', 'Scheme', 'Policewoman', 'Injustice', 'Smart Male Lead', 'Corruption', 'Strong Female Lead', '(Vote or add tags)']",8.0
Super Family,2017,40,13+,"['Park Hyuk Kwon', 'Park Sun Young', 'Kim Ji Min', 'Uhm Hyo Sub', 'Park Hee Bon', 'Kim Ki Ri']",SBS,"['Comedy', 'Romance', 'Family', 'Sitcom']","['Neighbors', 'Family Relationship', 'Slice Of Life', 'Office Worker', 'Married Couple', 'Drama', '(Vote or add tags)']",8.0
Let's Eat,2013,16,15+,"['Lee Soo Kyung', 'Yoon Doo Joon', 'Yoon So Hee', 'Shim Hyung Tak', 'Lee Do Yeon', 'Feeldog']",tvN,"['Food', 'Comedy', 'Romance', 'Drama']","['Neighbors', 'Strong Female Lead', 'Nice Male Lead', 'Smart Female Lead', 'Smart Male Lead', 'Older Woman/Younger Man', 'Strong Friendship', 'Divorce', 'Korean Food', 'Enemies To Friends', '(Vote or add tags)']",7.9
Something in the Rain,2018,16,15+,"['Son Ye Jin', 'Jung Hae In', 'Jang So Yeon', 'Jung Eugene', 'Lee Joo Young', 'Lee Hwa Ryong']","jTBC,  Netflix","['Romance', 'Life', 'Drama', 'Melodrama']","['Family Pressure', 'Steamy Kiss', 'Workplace Abuse', 'Nice Male Lead', 'Forbidden Love', 'Older Woman/Younger Man', 'Sexual Harassment', 'Sismance', 'Male Chases Female First', 'Disapproving Parent', '(Vote or add tags)']",7.9
The Three Musketeers,2014,12,15+,"['Jung Yong Hwa', 'Lee Jin Wook', 'Yang Dong Geun', 'Jung Hae In', 'Seo Hyun Jin', 'Yoo In Young']",tvN,"['Action', 'Adventure', 'Historical', 'Romance']","['Joseon Dynasty', 'Friendship', 'Betrayal', 'Revenge', 'Bromance', 'Comedy', 'Royalty', 'Kind-hearted Male Lead', 'Secret Past', 'Historical Fiction', '(Vote or add tags)']",7.9
Spring Turns to Spring,2019,32,15+,"['Lee Yoo Ri', 'Uhm Ji Won', 'Choi Byung Mo', 'Lee Jong Hyuk', 'Ahn Se Ha', 'Kim Nam Hee']",MBC,"['Friendship', 'Business', 'Comedy', 'Drama', 'Fantasy']","['Body Swap', 'Female Centered Plot', 'Sismance', 'Sassy Female Lead', 'Smart Female Lead', 'Strong Female Lead', 'Eccentric Female Lead', 'Naive Female Lead', 'Infidelity', 'Revenge', '(Vote or add tags)']",7.9
Falsify,2017,32,15+,"['Namkoong Min', 'Yoo  Joon Sang', 'Uhm Ji Won', 'Jeon Hye Bin', 'Moon Sung Geun', 'Kim Kang Hyun']",SBS,"['Thriller', 'Mystery', 'Law']","['Nice Male Lead', 'Smart Male Lead', 'Corruption', 'Revenge', 'Poor Male Lead', 'Strong Male Lead', 'Strong Female Lead', 'Tragic Past', 'Strong Friendship', 'Lying', '(Vote or add tags)']",7.9
Emergency Couple,2014,21,Not Yet Rated,"['Song Ji Hyo', 'Choi Jin Hyuk', 'Lee Pil Mo', 'Choi Yeo Jin', 'Clara Lee', 'Chun Min Hee']",tvN,"['Comedy', 'Romance', 'Drama', 'Medical']","['Blind Date', 'Dysfunctional Family', 'Bickering Couple', 'Second Chance', 'Marriage', 'Love/Hate Relationship', 'Ex-spouse Relationship', 'Doctor Female Lead', 'Doctor Male Lead', 'Resident Doctor', '(Vote or add tags)']",7.9
Cross,2018,16,15+,"['Go Kyung Pyo', 'Jo Jae Hyun', 'Jeon So Min', 'Uhm Ji Sung', 'Kim Jong Goo', 'Jin Yi Han']",tvN,"['Thriller', 'Mystery', 'Medical']","['Investigation', 'Suspense', 'Doctor Male Lead', 'Death Of A Father', 'Surgeon', 'Death', 'Special Power', 'Revenge', 'Violence', 'Murder', '(Vote or add tags)']",7.9
Queen of Mystery 2,2018,16,15+,"['Kwon Sang Woo', 'Choi Kang Hee', 'Park Byung Eun', 'Lee Da Hee', 'Oh Min Suk', 'Kim Hyun Sook']",KBS2,"['Action', 'Mystery', 'Comedy', 'Drama']","['Slight Romance', 'Detective Male Lead', 'Police Department', 'Badass Male Lead', 'Best Friends', 'Secret', 'Badass Female Lead', 'Crime Solving Duo', 'Orphan Female Lead', 'Policewoman', '(Vote or add tags)']",7.9
